feature,importance
log_likes,0.28999768053649594
log_comments,0.13503954979294291
days_since_upload,0.0929248763850816
engagement_rate,0.0797803709608361
comments_per_view,0.07592288261059588
log_days_since_upload,0.07508429388244003
likes_per_view,0.05680608807220889
is_recent,0.044643517705007234
log_channel_subscribers,0.03342235391888823
channel_video_count,0.030041709364471734
duration_seconds,0.020689456417775212
log_duration,0.019307943012253193
title_length,0.013489038471272323
title_word_count,0.0099711327535749
title_uppercase_ratio,0.00670865878485358
description_length,0.0053689663346649695
tag_count,0.0034564095883385117
is_long_video,0.002837663753912484
is_short_video,0.0017756015915666799
has_numbers,0.0011907382703668563
